game_id,season,team,side,batting_order,player_id,player_name,position,batting_avg,obp,slg,ops,home_runs,rbi,k_rate,bb_rate
3,1,Wisconsin Cheese Kings,away,2,18,Marcus Sullivan,1B,0.24,0.279,0.425,0.704,0,23,0.112,0.029
3,1,Wisconsin Cheese Kings,away,3,19,Noah Falk,2B,0.298,0.388,0.491,0.879,2,16,0.333,0.068
3,1,Wisconsin Cheese Kings,away,4,20,Jared Dietrich,3B,0.313,0.349,0.408,0.757,2,29,0.1,0.081
3,1,Wisconsin Cheese Kings,away,5,21,Grayson Fowler,SS,0.307,0.372,0.486,0.858,2,20,0.35,0.087
3,1,Wisconsin Cheese Kings,away,6,22,Owen Fischer,LF,0.251,0.303,0.332,0.635,1,14,0.132,0.046
3,1,Wisconsin Cheese Kings,away,7,23,Colton Christensen,CF,0.277,0.341,0.366,0.707,0,14,0.235,0.036
3,1,Wisconsin Cheese Kings,away,8,24,Cameron Rohde,RF,0.236,0.319,0.454,0.773,1,7,0.089,0.047
3,1,Wisconsin Cheese Kings,away,9,25,Jared Falk,DH,0.26,0.332,0.412,0.744,2,12,0.215,0.037
4,1,Maunesha River Rats,home,1,1,Tristan Young,C,0.316,0.398,0.535,0.933,0,24,0.198,0.062
4,1,Maunesha River Rats,home,2,2,Grant Bauer,1B,0.287,0.357,0.364,0.721,1,16,0.188,0.039
4,1,Maunesha River Rats,home,3,3,Grayson Jensen,2B,0.282,0.333,0.375,0.708,1,33,0.114,0.074
4,1,Maunesha River Rats,home,4,4,Miles Hoffman,3B,0.25,0.297,0.353,0.65,0,15,0.211,0.073
4,1,Maunesha River Rats,home,5,5,Xavier Xiong,SS,0.305,0.367,0.44,0.807,2,11,0.103,0.045
4,1,Maunesha River Rats,home,6,6,Liam Ulrich,LF,0.257,0.323,0.376,0.699,2,6,0.4,0.063
4,1,Maunesha River Rats,home,7,7,Luke Palmer,CF,0.234,0.286,0.349,0.635,0,13,0.156,0.027
4,1,Maunesha River Rats,home,8,8,Weston Turner,RF,0.254,0.317,0.408,0.725,1,14,0.25,0.06
4,1,Maunesha River Rats,home,9,9,Quinn Kowalski,DH,0.248,0.317,0.315,0.632,0,14,0.17,0.068
4,1,Northshore Bobbers,away,1,33,Kevin Lehmann,C,0.28,0.363,0.423,0.786,1,16,0.116,0.035
4,1,Northshore Bobbers,away,2,34,Bryce Robinson,1B,0.257,0.306,0.361,0.667,1,11,0.182,0.031
4,1,Northshore Bobbers,away,3,35,Kevin Carlson,2B,0.302,0.387,0.432,0.819,2,13,0.243,0.058
4,1,Northshore Bobbers,away,4,36,Caleb Nelson,3B,0.266,0.313,0.474,0.787,0,16,0.141,0.055
4,1,Northshore Bobbers,away,5,37,Cole Anderson,SS,0.245,0.29,0.374,0.664,0,6,0.139,0.045
4,1,Northshore Bobbers,away,6,38,Spencer Irvine,LF,0.271,0.325,0.399,0.724,2,17,0.106,0.053
4,1,Northshore Bobbers,away,7,39,Justin Werner,CF,0.273,0.313,0.334,0.647,0,18,0.393,0.067
4,1,Northshore Bobbers,away,8,40,Brady Larson,RF,0.32,0.362,0.426,0.788,2,33,0.16,0.038
4,1,Northshore Bobbers,away,9,41,Marcus Morrison,DH,0.314,0.399,0.399,0.798,2,25,0.091,0.076
5,1,Maunesha River Rats,home,1,1,Tristan Young,C,0.316,0.398,0.535,0.933,0,24,0.198,0.062
5,1,Maunesha River Rats,home,2,2,Grant Bauer,1B,0.287,0.357,0.364,0.721,1,16,0.188,0.039
5,1,Maunesha River Rats,home,3,3,Grayson Jensen,2B,0.282,0.333,0.375,0.708,1,33,0.114,0.074
5,1,Maunesha River Rats,home,4,4,Miles Hoffman,3B,0.25,0.297,0.353,0.65,0,15,0.211,0.073
5,1,Maunesha River Rats,home,5,5,Xavier Xiong,SS,0.305,0.367,0.44,0.807,2,11,0.103,0.045
5,1,Maunesha River Rats,home,6,6,Liam Ulrich,LF,0.257,0.323,0.376,0.699,2,6,0.4,0.063
5,1,Maunesha River Rats,home,7,7,Luke Palmer,CF,0.234,0.286,0.349,0.635,0,13,0.156,0.027
5,1,Maunesha River Rats,home,8,8,Weston Turner,RF,0.254,0.317,0.408,0.725,1,14,0.25,0.06
5,1,Maunesha River Rats,home,9,9,Quinn Kowalski,DH,0.248,0.317,0.315,0.632,0,14,0.17,0.068
5,1,Northshore Bobbers,away,1,33,Kevin Lehmann,C,0.28,0.363,0.423,0.786,1,16,0.116,0.035
5,1,Northshore Bobbers,away,2,34,Bryce Robinson,1B,0.257,0.306,0.361,0.667,1,11,0.182,0.031
5,1,Northshore Bobbers,away,3,35,Kevin Carlson,2B,0.302,0.387,0.432,0.819,2,13,0.243,0.058
5,1,Northshore Bobbers,away,4,36,Caleb Nelson,3B,0.266,0.313,0.474,0.787,0,16,0.141,0.055
5,1,Northshore Bobbers,away,5,37,Cole Anderson,SS,0.245,0.29,0.374,0.664,0,6,0.139,0.045
5,1,Northshore Bobbers,away,6,38,Spencer Irvine,LF,0.271,0.325,0.399,0.724,2,17,0.106,0.053
5,1,Northshore Bobbers,away,7,39,Justin Werner,CF,0.273,0.313,0.334,0.647,0,18,0.393,0.067
5,1,Northshore Bobbers,away,8,40,Brady Larson,RF,0.32,0.362,0.426,0.788,2,33,0.16,0.038
5,1,Northshore Bobbers,away,9,41,Marcus Morrison,DH,0.314,0.399,0.399,0.798,2,25,0.091,0.076
6,1,Maunesha River Rats,home,1,1,Tristan Young,C,0.316,0.398,0.535,0.933,0,24,0.198,0.062
6,1,Maunesha River Rats,home,2,2,Grant Bauer,1B,0.287,0.357,0.364,0.721,1,16,0.188,0.039
6,1,Maunesha River Rats,home,3,3,Grayson Jensen,2B,0.282,0.333,0.375,0.708,1,33,0.114,0.074
6,1,Maunesha River Rats,home,4,4,Miles Hoffman,3B,0.25,0.297,0.353,0.65,0,15,0.211,0.073
6,1,Maunesha River Rats,home,5,5,Xavier Xiong,SS,0.305,0.367,0.44,0.807,2,11,0.103,0.045
6,1,Maunesha River Rats,home,6,6,Liam Ulrich,LF,0.257,0.323,0.376,0.699,2,6,0.4,0.063
6,1,Maunesha River Rats,home,7,7,Luke Palmer,CF,0.234,0.286,0.349,0.635,0,13,0.156,0.027
6,1,Maunesha River Rats,home,8,8,Weston Turner,RF,0.254,0.317,0.408,0.725,1,14,0.25,0.06
6,1,Maunesha River Rats,home,9,9,Quinn Kowalski,DH,0.248,0.317,0.315,0.632,0,14,0.17,0.068
6,1,Northshore Bobbers,away,1,33,Kevin Lehmann,C,0.28,0.363,0.423,0.786,1,16,0.116,0.035
6,1,Northshore Bobbers,away,2,34,Bryce Robinson,1B,0.257,0.306,0.361,0.667,1,11,0.182,0.031
6,1,Northshore Bobbers,away,3,35,Kevin Carlson,2B,0.302,0.387,0.432,0.819,2,13,0.243,0.058
6,1,Northshore Bobbers,away,4,36,Caleb Nelson,3B,0.266,0.313,0.474,0.787,0,16,0.141,0.055
6,1,Northshore Bobbers,away,5,37,Cole Anderson,SS,0.245,0.29,0.374,0.664,0,6,0.139,0.045
6,1,Northshore Bobbers,away,6,38,Spencer Irvine,LF,0.271,0.325,0.399,0.724,2,17,0.106,0.053
6,1,Northshore Bobbers,away,7,39,Justin Werner,CF,0.273,0.313,0.334,0.647,0,18,0.393,0.067
6,1,Northshore Bobbers,away,8,40,Brady Larson,RF,0.32,0.362,0.426,0.788,2,33,0.16,0.038
6,1,Northshore Bobbers,away,9,41,Marcus Morrison,DH,0.314,0.399,0.399,0.798,2,25,0.091,0.076
7,1,Maunesha River Rats,home,1,1,Tristan Young,C,0.316,0.398,0.535,0.933,0,24,0.198,0.062
7,1,Maunesha River Rats,home,2,2,Grant Bauer,1B,0.287,0.357,0.364,0.721,1,16,0.188,0.039
7,1,Maunesha River Rats,home,3,3,Grayson Jensen,2B,0.282,0.333,0.375,0.708,1,33,0.114,0.074
7,1,Maunesha River Rats,home,4,4,Miles Hoffman,3B,0.25,0.297,0.353,0.65,0,15,0.211,0.073
7,1,Maunesha River Rats,home,5,5,Xavier Xiong,SS,0.305,0.367,0.44,0.807,2,11,0.103,0.045
7,1,Maunesha River Rats,home,6,6,Liam Ulrich,LF,0.257,0.323,0.376,0.699,2,6,0.4,0.063
7,1,Maunesha River Rats,home,7,7,Luke Palmer,CF,0.234,0.286,0.349,0.635,0,13,0.156,0.027
7,1,Maunesha River Rats,home,8,8,Weston Turner,RF,0.254,0.317,0.408,0.725,1,14,0.25,0.06
7,1,Maunesha River Rats,home,9,9,Quinn Kowalski,DH,0.248,0.317,0.315,0.632,0,14,0.17,0.068
7,1,Lakeside Beach Bums,away,1,49,Sawyer Nelson,C,0.294,0.37,0.375,0.745,0,13,0.179,0.029
7,1,Lakeside Beach Bums,away,2,50,Xavier Dietrich,1B,0.275,0.338,0.455,0.793,0,8,0.224,0.047
7,1,Lakeside Beach Bums,away,3,51,Marcus Burkhart,2B,0.27,0.352,0.398,0.75,0,25,0.144,0.05
7,1,Lakeside Beach Bums,away,4,52,Cole Strang,3B,0.273,0.312,0.442,0.754,1,12,0.2,0.034
7,1,Lakeside Beach Bums,away,5,53,Colton Rasmussen,SS,0.247,0.326,0.359,0.685,1,15,0.151,0.067
7,1,Lakeside Beach Bums,away,6,54,Sean Fischer,LF,0.285,0.375,0.379,0.754,0,5,0.134,0.032
7,1,Lakeside Beach Bums,away,7,55,Weston Aldrich,CF,0.266,0.314,0.327,0.641,0,13,0.24,0.048
7,1,Lakeside Beach Bums,away,8,56,Ethan Quinn,RF,0.277,0.37,0.439,0.809,0,9,0.324,0.063
7,1,Lakeside Beach Bums,away,9,57,Brady Hansen,DH,0.255,0.327,0.354,0.681,1,5,0.242,0.032
8,1,Maunesha River Rats,home,1,1,Tristan Young,C,0.316,0.398,0.535,0.933,0,24,0.198,0.062
8,1,Maunesha River Rats,home,2,2,Grant Bauer,1B,0.287,0.357,0.364,0.721,1,16,0.188,0.039
8,1,Maunesha River Rats,home,3,3,Grayson Jensen,2B,0.282,0.333,0.375,0.708,1,33,0.114,0.074
8,1,Maunesha River Rats,home,4,4,Miles Hoffman,3B,0.25,0.297,0.353,0.65,0,15,0.211,0.073
8,1,Maunesha River Rats,home,5,5,Xavier Xiong,SS,0.305,0.367,0.44,0.807,2,11,0.103,0.045
8,1,Maunesha River Rats,home,6,6,Liam Ulrich,LF,0.257,0.323,0.376,0.699,2,6,0.4,0.063
8,1,Maunesha River Rats,home,7,7,Luke Palmer,CF,0.234,0.286,0.349,0.635,0,13,0.156,0.027
8,1,Maunesha River Rats,home,8,8,Weston Turner,RF,0.254,0.317,0.408,0.725,1,14,0.25,0.06
8,1,Maunesha River Rats,home,9,9,Quinn Kowalski,DH,0.248,0.317,0.315,0.632,0,14,0.17,0.068
8,1,Lakeside Beach Bums,away,1,49,Sawyer Nelson,C,0.294,0.37,0.375,0.745,0,13,0.179,0.029
8,1,Lakeside Beach Bums,away,2,50,Xavier Dietrich,1B,0.275,0.338,0.455,0.793,0,8,0.224,0.047
8,1,Lakeside Beach Bums,away,3,51,Marcus Burkhart,2B,0.27,0.352,0.398,0.75,0,25,0.144,0.05
8,1,Lakeside Beach Bums,away,4,52,Cole Strang,3B,0.273,0.312,0.442,0.754,1,12,0.2,0.034
8,1,Lakeside Beach Bums,away,5,53,Colton Rasmussen,SS,0.247,0.326,0.359,0.685,1,15,0.151,0.067
8,1,Lakeside Beach Bums,away,6,54,Sean Fischer,LF,0.285,0.375,0.379,0.754,0,5,0.134,0.032
8,1,Lakeside Beach Bums,away,7,55,Weston Aldrich,CF,0.266,0.314,0.327,0.641,0,13,0.24,0.048
8,1,Lakeside Beach Bums,away,8,56,Ethan Quinn,RF,0.277,0.37,0.439,0.809,0,9,0.324,0.063
8,1,Lakeside Beach Bums,away,9,57,Brady Hansen,DH,0.255,0.327,0.354,0.681,1,5,0.242,0.032
9,1,Maunesha River Rats,home,1,1,Tristan Young,C,0.316,0.398,0.535,0.933,0,24,0.198,0.062
9,1,Maunesha River Rats,home,2,2,Grant Bauer,1B,0.287,0.357,0.364,0.721,1,16,0.188,0.039
9,1,Maunesha River Rats,home,3,3,Grayson Jensen,2B,0.282,0.333,0.375,0.708,1,33,0.114,0.074
9,1,Maunesha River Rats,home,4,4,Miles Hoffman,3B,0.25,0.297,0.353,0.65,0,15,0.211,0.073
9,1,Maunesha River Rats,home,5,5,Xavier Xiong,SS,0.305,0.367,0.44,0.807,2,11,0.103,0.045
9,1,Maunesha River Rats,home,6,6,Liam Ulrich,LF,0.257,0.323,0.376,0.699,2,6,0.4,0.063
9,1,Maunesha River Rats,home,7,7,Luke Palmer,CF,0.234,0.286,0.349,0.635,0,13,0.156,0.027
9,1,Maunesha River Rats,home,8,8,Weston Turner,RF,0.254,0.317,0.408,0.725,1,14,0.25,0.06
9,1,Maunesha River Rats,home,9,9,Quinn Kowalski,DH,0.248,0.317,0.315,0.632,0,14,0.17,0.068
9,1,Lakeside Beach Bums,away,1,49,Sawyer Nelson,C,0.294,0.37,0.375,0.745,0,13,0.179,0.029
9,1,Lakeside Beach Bums,away,2,50,Xavier Dietrich,1B,0.275,0.338,0.455,0.793,0,8,0.224,0.047
9,1,Lakeside Beach Bums,away,3,51,Marcus Burkhart,2B,0.27,0.352,0.398,0.75,0,25,0.144,0.05
9,1,Lakeside Beach Bums,away,4,52,Cole Strang,3B,0.273,0.312,0.442,0.754,1,12,0.2,0.034
9,1,Lakeside Beach Bums,away,5,53,Colton Rasmussen,SS,0.247,0.326,0.359,0.685,1,15,0.151,0.067
9,1,Lakeside Beach Bums,away,6,54,Sean Fischer,LF,0.285,0.375,0.379,0.754,0,5,0.134,0.032
9,1,Lakeside Beach Bums,away,7,55,Weston Aldrich,CF,0.266,0.314,0.327,0.641,0,13,0.24,0.048
9,1,Lakeside Beach Bums,away,8,56,Ethan Quinn,RF,0.277,0.37,0.439,0.809,0,9,0.324,0.063
9,1,Lakeside Beach Bums,away,9,57,Brady Hansen,DH,0.255,0.327,0.354,0.681,1,5,0.242,0.032
10,1,Maunesha River Rats,home,1,1,Tristan Young,C,0.316,0.398,0.535,0.933,0,24,0.198,0.062
10,1,Maunesha River Rats,home,2,2,Grant Bauer,1B,0.287,0.357,0.364,0.721,1,16,0.188,0.039
10,1,Maunesha River Rats,home,3,3,Grayson Jensen,2B,0.282,0.333,0.375,0.708,1,33,0.114,0.074
10,1,Maunesha River Rats,home,4,4,Miles Hoffman,3B,0.25,0.297,0.353,0.65,0,15,0.211,0.073
10,1,Maunesha River Rats,home,5,5,Xavier Xiong,SS,0.305,0.367,0.44,0.807,2,11,0.103,0.045
10,1,Maunesha River Rats,home,6,6,Liam Ulrich,LF,0.257,0.323,0.376,0.699,2,6,0.4,0.063
10,1,Maunesha River Rats,home,7,7,Luke Palmer,CF,0.234,0.286,0.349,0.635,0,13,0.156,0.027
10,1,Maunesha River Rats,home,8,8,Weston Turner,RF,0.254,0.317,0.408,0.725,1,14,0.25,0.06
10,1,Maunesha River Rats,home,9,9,Quinn Kowalski,DH,0.248,0.317,0.315,0.632,0,14,0.17,0.068
10,1,Johnson Creek Mapaches,away,1,65,Ryan Young,C,0.222,0.265,0.359,0.624,0,14,0.319,0.053
10,1,Johnson Creek Mapaches,away,2,66,Weston Rasmussen,1B,0.284,0.321,0.475,0.796,1,26,0.19,0.049
10,1,Johnson Creek Mapaches,away,3,67,Tyler Quinn,2B,0.306,0.39,0.441,0.831,2,12,0.129,0.043
10,1,Johnson Creek Mapaches,away,4,68,Travis Davis,3B,0.24,0.304,0.36,0.664,1,24,0.409,0.08
10,1,Johnson Creek Mapaches,away,5,69,Tanner Hansen,SS,0.348,0.423,0.509,0.932,1,21,0.129,0.046
10,1,Johnson Creek Mapaches,away,6,70,Ryan Carlson,LF,0.311,0.399,0.524,0.923,1,19,0.171,0.036
10,1,Johnson Creek Mapaches,away,7,71,Owen Zimmerman,CF,0.295,0.342,0.444,0.786,2,11,0.088,0.028
10,1,Johnson Creek Mapaches,away,8,72,Parker Young,RF,0.309,0.381,0.482,0.863,0,5,0.26,0.104
10,1,Johnson Creek Mapaches,away,9,73,Tristan Rasmussen,DH,0.267,0.301,0.471,0.772,1,6,0.098,0.057
11,1,Maunesha River Rats,home,1,1,Tristan Young,C,0.316,0.398,0.535,0.933,0,24,0.198,0.062
11,1,Maunesha River Rats,home,2,2,Grant Bauer,1B,0.287,0.357,0.364,0.721,1,16,0.188,0.039
11,1,Maunesha River Rats,home,3,3,Grayson Jensen,2B,0.282,0.333,0.375,0.708,1,33,0.114,0.074
11,1,Maunesha River Rats,home,4,4,Miles Hoffman,3B,0.25,0.297,0.353,0.65,0,15,0.211,0.073
11,1,Maunesha River Rats,home,5,5,Xavier Xiong,SS,0.305,0.367,0.44,0.807,2,11,0.103,0.045
11,1,Maunesha River Rats,home,6,6,Liam Ulrich,LF,0.257,0.323,0.376,0.699,2,6,0.4,0.063
11,1,Maunesha River Rats,home,7,7,Luke Palmer,CF,0.234,0.286,0.349,0.635,0,13,0.156,0.027
11,1,Maunesha River Rats,home,8,8,Weston Turner,RF,0.254,0.317,0.408,0.725,1,14,0.25,0.06
11,1,Maunesha River Rats,home,9,9,Quinn Kowalski,DH,0.248,0.317,0.315,0.632,0,14,0.17,0.068
11,1,Johnson Creek Mapaches,away,1,65,Ryan Young,C,0.222,0.265,0.359,0.624,0,14,0.319,0.053
11,1,Johnson Creek Mapaches,away,2,66,Weston Rasmussen,1B,0.284,0.321,0.475,0.796,1,26,0.19,0.049
11,1,Johnson Creek Mapaches,away,3,67,Tyler Quinn,2B,0.306,0.39,0.441,0.831,2,12,0.129,0.043
11,1,Johnson Creek Mapaches,away,4,68,Travis Davis,3B,0.24,0.304,0.36,0.664,1,24,0.409,0.08
11,1,Johnson Creek Mapaches,away,5,69,Tanner Hansen,SS,0.348,0.423,0.509,0.932,1,21,0.129,0.046
11,1,Johnson Creek Mapaches,away,6,70,Ryan Carlson,LF,0.311,0.399,0.524,0.923,1,19,0.171,0.036
11,1,Johnson Creek Mapaches,away,7,71,Owen Zimmerman,CF,0.295,0.342,0.444,0.786,2,11,0.088,0.028
11,1,Johnson Creek Mapaches,away,8,72,Parker Young,RF,0.309,0.381,0.482,0.863,0,5,0.26,0.104
11,1,Johnson Creek Mapaches,away,9,73,Tristan Rasmussen,DH,0.267,0.301,0.471,0.772,1,6,0.098,0.057
12,1,Maunesha River Rats,home,1,1,Tristan Young,C,0.316,0.398,0.535,0.933,0,24,0.198,0.062
12,1,Maunesha River Rats,home,2,2,Grant Bauer,1B,0.287,0.357,0.364,0.721,1,16,0.188,0.039
12,1,Maunesha River Rats,home,3,3,Grayson Jensen,2B,0.282,0.333,0.375,0.708,1,33,0.114,0.074
12,1,Maunesha River Rats,home,4,4,Miles Hoffman,3B,0.25,0.297,0.353,0.65,0,15,0.211,0.073
12,1,Maunesha River Rats,home,5,5,Xavier Xiong,SS,0.305,0.367,0.44,0.807,2,11,0.103,0.045
12,1,Maunesha River Rats,home,6,6,Liam Ulrich,LF,0.257,0.323,0.376,0.699,2,6,0.4,0.063
12,1,Maunesha River Rats,home,7,7,Luke Palmer,CF,0.234,0.286,0.349,0.635,0,13,0.156,0.027
12,1,Maunesha River Rats,home,8,8,Weston Turner,RF,0.254,0.317,0.408,0.725,1,14,0.25,0.06
12,1,Maunesha River Rats,home,9,9,Quinn Kowalski,DH,0.248,0.317,0.315,0.632,0,14,0.17,0.068
12,1,Johnson Creek Mapaches,away,1,65,Ryan Young,C,0.222,0.265,0.359,0.624,0,14,0.319,0.053
12,1,Johnson Creek Mapaches,away,2,66,Weston Rasmussen,1B,0.284,0.321,0.475,0.796,1,26,0.19,0.049
12,1,Johnson Creek Mapaches,away,3,67,Tyler Quinn,2B,0.306,0.39,0.441,0.831,2,12,0.129,0.043
12,1,Johnson Creek Mapaches,away,4,68,Travis Davis,3B,0.24,0.304,0.36,0.664,1,24,0.409,0.08
12,1,Johnson Creek Mapaches,away,5,69,Tanner Hansen,SS,0.348,0.423,0.509,0.932,1,21,0.129,0.046
12,1,Johnson Creek Mapaches,away,6,70,Ryan Carlson,LF,0.311,0.399,0.524,0.923,1,19,0.171,0.036
12,1,Johnson Creek Mapaches,away,7,71,Owen Zimmerman,CF,0.295,0.342,0.444,0.786,2,11,0.088,0.028
12,1,Johnson Creek Mapaches,away,8,72,Parker Young,RF,0.309,0.381,0.482,0.863,0,5,0.26,0.104
12,1,Johnson Creek Mapaches,away,9,73,Tristan Rasmussen,DH,0.267,0.301,0.471,0.772,1,6,0.098,0.057
13,1,Maunesha River Rats,home,1,1,Tristan Young,C,0.316,0.398,0.535,0.933,0,24,0.198,0.062
13,1,Maunesha River Rats,home,2,2,Grant Bauer,1B,0.287,0.357,0.364,0.721,1,16,0.188,0.039
13,1,Maunesha River Rats,home,3,3,Grayson Jensen,2B,0.282,0.333,0.375,0.708,1,33,0.114,0.074
13,1,Maunesha River Rats,home,4,4,Miles Hoffman,3B,0.25,0.297,0.353,0.65,0,15,0.211,0.073
13,1,Maunesha River Rats,home,5,5,Xavier Xiong,SS,0.305,0.367,0.44,0.807,2,11,0.103,0.045
13,1,Maunesha River Rats,home,6,6,Liam Ulrich,LF,0.257,0.323,0.376,0.699,2,6,0.4,0.063
13,1,Maunesha River Rats,home,7,7,Luke Palmer,CF,0.234,0.286,0.349,0.635,0,13,0.156,0.027
13,1,Maunesha River Rats,home,8,8,Weston Turner,RF,0.254,0.317,0.408,0.725,1,14,0.25,0.06
13,1,Maunesha River Rats,home,9,9,Quinn Kowalski,DH,0.248,0.317,0.315,0.632,0,14,0.17,0.068
13,1,Waukesha Foxes,away,1,81,Sean Krueger,C,0.27,0.331,0.465,0.796,2,15,0.097,0.057
13,1,Waukesha Foxes,away,2,82,Jake Quinn,1B,0.246,0.324,0.43,0.754,2,5,0.203,0.028
13,1,Waukesha Foxes,away,3,83,Kevin Anderson,2B,0.346,0.434,0.512,0.946,3,29,0.182,0.111
13,1,Waukesha Foxes,away,4,84,Colton Rohde,3B,0.263,0.326,0.38,0.706,0,9,0.122,0.049
