game_id,season,game_date,game_month,home_team,home_team_abbr,away_team,away_team_abbr,ballpark,ballpark_city,park_factor,attendance,home_sp_name,home_sp_player_id,home_sp_era,home_sp_whip,home_sp_k9,home_sp_bb9,home_sp_innings_pitched,home_sp_wins,home_sp_losses,home_sp_days_rest,away_sp_name,away_sp_player_id,away_sp_era,away_sp_whip,away_sp_k9,away_sp_bb9,away_sp_innings_pitched,away_sp_wins,away_sp_losses,away_sp_days_rest,home_lineup_avg_ops,home_lineup_avg_ba,home_lineup_total_hr,home_lineup_avg_krate,home_lineup_avg_bbrate,home_lineup_avg_skill,away_lineup_avg_ops,away_lineup_avg_ba,away_lineup_total_hr,away_lineup_avg_krate,away_lineup_avg_bbrate,away_lineup_avg_skill,home_team_wins,home_team_losses,home_team_win_pct,home_team_run_diff,home_team_last10_wins,home_team_home_win_pct,home_team_runs_for,home_team_runs_against,away_team_wins,away_team_losses,away_team_win_pct,away_team_run_diff,away_team_last10_wins,away_team_away_win_pct,away_team_runs_for,away_team_runs_against,weather_condition,temperature_f,wind_mph,wind_direction,humidity_pct,precipitation_chance,ump_k_rate_bias,sp_era_diff,sp_whip_diff,sp_k9_diff,sp_bb9_diff,lineup_ops_diff,lineup_skill_diff,win_pct_diff,run_diff_diff,last10_wins_diff,home_win_prob_true,home_runs_scored,away_runs_scored,total_runs,run_margin,winner,loser
11,1,2022-05-28,5,Maunesha River Rats,MRR,Johnson Creek Mapaches,JCM,River Rats Ballpark,Maunesha,1.02,1517,Derek Vandenberg,11,3.05,1.308,8.77,3.16,18.4,2,1,4,Eli Jorgensen,76,3.7,1.587,8.72,4.14,55.0,1,0,6,0.723,0.27,7,0.199,0.057,0.442,0.799,0.287,9,0.199,0.055,0.499,1,4,0.6,14,6,0.6,92,78,1,0,1.0,4,1,0.5,14,10,Clear,59.3,9.5,R-L,84,0.02,0.0088,0.65,0.279,0.05,0.98,-0.076,-0.057,-0.4,10,5,0.266,11,8,19,3,Maunesha River Rats,Johnson Creek Mapaches
12,1,2022-05-29,5,Maunesha River Rats,MRR,Johnson Creek Mapaches,JCM,River Rats Ballpark,Maunesha,1.02,1472,Derek Vandenberg,11,3.05,1.308,8.77,3.16,18.4,2,1,4,Liam Schmidt,77,4.13,1.275,7.73,3.02,63.5,2,3,4,0.723,0.27,7,0.199,0.057,0.442,0.799,0.287,9,0.199,0.055,0.499,1,4,0.636,17,6,0.636,103,86,1,1,0.5,1,1,0.5,22,21,Clear,64.0,13.9,Out,88,0.02,-0.0062,1.08,-0.033,1.04,-0.14,-0.076,-0.057,0.136,16,5,0.7443,5,2,7,3,Maunesha River Rats,Johnson Creek Mapaches
13,1,2022-05-30,5,Maunesha River Rats,MRR,Waukesha Foxes,WKF,River Rats Ballpark,Maunesha,1.02,1312,Derek Vandenberg,11,3.05,1.308,8.77,3.16,18.4,2,1,4,Zach Evans,91,3.1,1.386,8.19,3.76,84.4,1,0,6,0.723,0.27,7,0.199,0.057,0.442,0.759,0.275,12,0.158,0.056,0.471,1,4,0.667,20,7,0.667,108,88,0,0,0.5,0,0,0.5,0,0,Partly Cloudy,56.1,5.2,Out,61,0.12,-0.005,0.05,0.078,0.58,0.6,-0.036,-0.029,0.167,20,7,0.7993,8,4,12,4,Maunesha River Rats,Waukesha Foxes
14,1,2022-05-31,5,Maunesha River Rats,MRR,Waukesha Foxes,WKF,River Rats Ballpark,Maunesha,1.02,1413,Luke Ehrhardt,12,3.76,1.392,7.01,3.63,29.6,0,3,5,Ryan Hagen,92,3.81,1.515,6.2,3.82,11.9,0,4,7,0.723,0.27,7,0.199,0.057,0.442,0.759,0.275,12,0.158,0.056,0.471,0,4,0.692,24,8,0.692,116,92,0,1,0.0,-4,0,0.5,4,8,Partly Cloudy,67.9,5.0,Calm,80,0.12,0.0124,0.05,0.123,0.81,0.19,-0.036,-0.029,0.692,28,8,0.7469,6,8,14,-2,Waukesha Foxes,Maunesha River Rats
15,1,2022-06-01,6,Maunesha River Rats,MRR,Waukesha Foxes,WKF,River Rats Ballpark,Maunesha,1.02,1466,Hunter Werner,13,4.09,1.363,6.8,3.87,55.2,0,2,4,Caleb Schmidt,93,2.88,1.317,10.84,2.74,68.1,3,1,5,0.723,0.27,7,0.199,0.057,0.442,0.759,0.275,12,0.158,0.056,0.471,1,5,0.643,22,7,0.643,122,100,1,1,0.5,-2,1,0.5,12,14,Partly Cloudy,83.9,8.9,L-R,67,0.12,0.0426,-1.21,-0.046,-4.04,-1.13,-0.036,-0.029,0.143,24,6,0.492,5,1,6,4,Maunesha River Rats,Waukesha Foxes
16,1,2022-06-02,6,Wisconsin Cheese Kings,WCK,Maunesha River Rats,MRR,Cheese Kings Ballpark,Madison,0.97,2045,Brady Graham,27,4.35,1.119,9.07,3.75,52.4,3,1,5,Liam Lehmann,14,1.97,1.211,8.81,3.2,26.4,1,1,5,0.749,0.273,10,0.19,0.055,0.487,0.723,0.27,7,0.199,0.057,0.442,0,1,0.667,3,2,0.5,31,28,10,5,0.667,26,7,0.667,127,101,Partly Cloudy,90.1,13.4,L-R,82,0.12,-0.0113,-2.38,0.092,0.26,-0.55,0.026,0.045,0.0,-23,-5,0.4955,8,9,17,-1,Maunesha River Rats,Wisconsin Cheese Kings
17,1,2022-06-04,6,Wisconsin Cheese Kings,WCK,Maunesha River Rats,MRR,Cheese Kings Ballpark,Madison,0.97,1353,Parker Yates,28,3.91,1.244,8.46,3.65,20.9,1,0,5,Derek Vandenberg,11,3.05,1.308,8.77,3.16,18.4,2,1,4,0.749,0.273,10,0.19,0.055,0.487,0.723,0.27,7,0.199,0.057,0.442,0,2,0.5,2,2,0.0,39,37,11,5,0.688,27,7,0.667,136,109,Overcast,70.4,14.7,L-R,74,0.28,0.0023,-0.86,0.064,-0.31,-0.49,0.026,0.045,-0.188,-25,-5,0.5476,10,12,22,-2,Maunesha River Rats,Wisconsin Cheese Kings
18,1,2022-06-05,6,Wisconsin Cheese Kings,WCK,Maunesha River Rats,MRR,Cheese Kings Ballpark,Madison,0.97,2083,Garrett Bauer,29,2.85,1.232,9.98,2.11,65.7,4,1,7,Derek Vandenberg,11,3.05,1.308,8.77,3.16,18.4,2,1,4,0.749,0.273,10,0.19,0.055,0.487,0.723,0.27,7,0.199,0.057,0.442,0,3,0.4,0,2,0.0,49,49,12,5,0.706,29,7,0.667,148,119,Clear,79.5,13.3,R-L,50,0.02,0.0162,0.2,0.076,1.21,1.05,0.026,0.045,-0.306,-29,-5,0.3417,6,9,15,-3,Maunesha River Rats,Wisconsin Cheese Kings
19,1,2022-06-06,6,Wisconsin Cheese Kings,WCK,Northshore Bobbers,NSB,Cheese Kings Ballpark,Madison,0.97,1988,Joshua Pierson,30,3.64,1.254,7.26,3.97,34.1,2,0,7,Cameron Novak,43,4.23,1.414,7.51,3.14,31.9,0,2,5,0.749,0.273,10,0.19,0.055,0.487,0.742,0.281,10,0.175,0.051,0.469,1,4,0.333,-3,2,0.0,55,58,0,3,0.0,-10,0,0.5,15,25,Clear,69.9,3.6,L-R,71,0.02,0.007,0.59,0.16,-0.25,-0.83,0.007,0.018,0.333,7,2,0.7532,9,3,12,6,Wisconsin Cheese Kings,Northshore Bobbers
20,1,2022-06-07,6,Wisconsin Cheese Kings,WCK,Northshore Bobbers,NSB,Cheese Kings Ballpark,Madison,0.97,1456,Brady Graham,27,4.35,1.119,9.07,3.75,52.4,3,1,5,Sawyer Hagen,44,2.76,1.348,8.86,2.7,68.9,0,0,5,0.749,0.273,10,0.19,0.055,0.487,0.742,0.281,10,0.175,0.051,0.469,0,4,0.429,3,3,0.25,64,61,0,4,0.0,-16,0,0.5,18,34,Overcast,62.3,10.1,R-L,47,0.28,0.0092,-1.59,0.229,0.21,-1.05,0.007,0.018,0.429,19,3,0.6837,1,3,4,-2,Northshore Bobbers,Wisconsin Cheese Kings
21,1,2022-06-09,6,Wisconsin Cheese Kings,WCK,Northshore Bobbers,NSB,Cheese Kings Ballpark,Madison,0.97,1765,Brady Graham,27,4.35,1.119,9.07,3.75,52.4,3,1,5,Liam Bauer,45,3.8,1.318,7.72,3.93,33.8,1,2,5,0.749,0.273,10,0.19,0.055,0.487,0.742,0.281,10,0.175,0.051,0.469,1,5,0.375,1,3,0.2,65,64,1,4,0.2,-14,1,0.5,21,35,Clear,79.4,10.7,L-R,54,0.02,-0.0107,-0.55,0.199,1.35,0.18,0.007,0.018,0.175,15,2,0.8658,3,2,5,1,Wisconsin Cheese Kings,Northshore Bobbers
22,1,2022-06-10,6,Wisconsin Cheese Kings,WCK,Lakeside Beach Bums,LBB,Cheese Kings Ballpark,Madison,0.97,1807,Brady Graham,27,4.35,1.119,9.07,3.75,52.4,3,1,5,Owen Mueller,59,3.91,1.199,8.6,3.82,14.7,1,2,4,0.749,0.273,10,0.19,0.055,0.487,0.735,0.271,3,0.204,0.045,0.466,1,5,0.444,2,4,0.333,68,66,1,2,0.333,-11,1,0.5,18,29,Clear,71.5,12.0,R-L,78,0.02,-0.0094,-0.44,0.08,0.47,0.07,0.014,0.021,0.111,13,3,0.7985,7,3,10,4,Wisconsin Cheese Kings,Lakeside Beach Bums
23,1,2022-06-11,6,Wisconsin Cheese Kings,WCK,Lakeside Beach Bums,LBB,Cheese Kings Ballpark,Madison,0.97,1386,Parker Yates,28,3.91,1.244,8.46,3.65,20.9,1,0,5,Nolan Xavier,60,3.4,1.389,8.66,4.4,35.8,0,3,4,0.749,0.273,10,0.19,0.055,0.487,0.735,0.271,3,0.204,0.045,0.466,1,5,0.5,6,5,0.429,75,69,1,3,0.25,-15,1,0.5,21,36,Overcast,70.3,5.6,In,84,0.28,0.0168,-0.51,0.145,-0.2,0.75,0.014,0.021,0.25,21,4,0.8023,9,5,14,4,Wisconsin Cheese Kings,Lakeside Beach Bums
24,1,2022-06-12,6,Wisconsin Cheese Kings,WCK,Lakeside Beach Bums,LBB,Cheese Kings Ballpark,Madison,0.97,1169,Garrett Bauer,29,2.85,1.232,9.98,2.11,65.7,4,1,7,Justin Ortega,61,2.63,1.336,8.49,3.76,71.0,1,2,5,0.749,0.273,10,0.19,0.055,0.487,0.735,0.271,3,0.204,0.045,0.466,1,5,0.545,10,6,0.5,84,74,1,4,0.2,-19,1,0.5,26,45,Light Rain,73.7,5.4,In,66,0.65,0.0245,-0.22,0.104,1.49,1.65,0.014,0.021,0.345,29,5,0.8802,8,3,11,5,Wisconsin Cheese Kings,Lakeside Beach Bums
25,1,2022-06-13,6,Wisconsin Cheese Kings,WCK,Johnson Creek Mapaches,JCM,Cheese Kings Ballpark,Madison,0.97,1981,Joshua Pierson,30,3.64,1.254,7.26,3.97,34.1,2,0,7,Jackson Dietrich,75,3.36,1.323,9.2,3.47,46.5,1,0,4,0.749,0.273,10,0.19,0.055,0.487,0.799,0.287,9,0.199,0.055,0.499,1,5,0.583,15,6,0.556,92,77,1,2,0.333,-2,1,0.5,24,26,Partly Cloudy,78.1,11.6,In,44,0.12,0.0033,-0.28,0.069,-1.94,-0.5,-0.05,-0.012,0.25,17,5,0.6645,6,5,11,1,Wisconsin Cheese Kings,Johnson Creek Mapaches
26,1,2022-06-14,6,Wisconsin Cheese Kings,WCK,Johnson Creek Mapaches,JCM,Cheese Kings Ballpark,Madison,0.97,1542,Brady Graham,27,4.35,1.119,9.07,3.75,52.4,3,1,5,Eli Jorgensen,76,3.7,1.587,8.72,4.14,55.0,1,0,6,0.749,0.273,10,0.19,0.055,0.487,0.799,0.287,9,0.199,0.055,0.499,1,5,0.615,16,6,0.6,98,82,1,3,0.25,-3,1,0.5,29,32,Light Rain,71.5,3.1,Calm,57,0.65,0.0343,-0.65,0.468,0.35,0.39,-0.05,-0.012,0.365,19,5,0.646,12,10,22,2,Wisconsin Cheese Kings,Johnson Creek Mapaches
27,1,2022-06-15,6,Wisconsin Cheese Kings,WCK,Johnson Creek Mapaches,JCM,Cheese Kings Ballpark,Madison,0.97,2281,Brady Graham,27,4.35,1.119,9.07,3.75,52.4,3,1,5,Liam Schmidt,77,4.13,1.275,7.73,3.02,63.5,2,3,4,0.749,0.273,10,0.19,0.055,0.487,0.799,0.287,9,0.199,0.055,0.499,0,5,0.643,18,7,0.636,110,92,1,4,0.2,-5,1,0.5,39,44,Clear,77.3,8.0,L-R,70,0.02,-0.014,-0.22,0.156,1.34,-0.73,-0.05,-0.012,0.443,23,6,0.737,5,9,14,-4,Johnson Creek Mapaches,Wisconsin Cheese Kings
28,1,2022-06-16,6,Wisconsin Cheese Kings,WCK,Waukesha Foxes,WKF,Cheese Kings Ballpark,Madison,0.97,1962,Brady Graham,27,4.35,1.119,9.07,3.75,52.4,3,1,5,Zach Evans,91,3.1,1.386,8.19,3.76,84.4,1,0,6,0.749,0.273,10,0.19,0.055,0.487,0.759,0.275,12,0.158,0.056,0.471,0,6,0.6,14,7,0.583,115,101,1,2,0.333,-6,1,0.5,13,19,Clear,60.1,5.4,L-R,80,0.02,0.0054,-1.25,0.267,0.88,0.01,-0.01,0.016,0.267,20,6,0.3727,9,11,20,-2,Waukesha Foxes,Wisconsin Cheese Kings
29,1,2022-06-17,6,Wisconsin Cheese Kings,WCK,Waukesha Foxes,WKF,Cheese Kings Ballpark,Madison,0.97,1909,Parker Yates,28,3.91,1.244,8.46,3.65,20.9,1,0,5,Ryan Hagen,92,3.81,1.515,6.2,3.82,11.9,0,4,7,0.749,0.273,10,0.19,0.055,0.487,0.759,0.275,12,0.158,0.056,0.471,0,7,0.562,12,7,0.538,124,112,2,2,0.5,-4,2,0.5,24,28,Windy,69.0,3.6,Calm,81,0.08,0.0118,-0.1,0.271,2.26,0.17,-0.01,0.016,0.062,16,5,0.6101,9,10,19,-1,Waukesha Foxes,Wisconsin Cheese Kings
30,1,2022-06-18,6,Wisconsin Cheese Kings,WCK,Waukesha Foxes,WKF,Cheese Kings Ballpark,Madison,0.97,1784,Garrett Bauer,29,2.85,1.232,9.98,2.11,65.7,4,1,7,Caleb Schmidt,93,2.88,1.317,10.84,2.74,68.1,3,1,5,0.749,0.273,10,0.19,0.055,0.487,0.759,0.275,12,0.158,0.056,0.471,1,8,0.529,11,6,0.5,133,122,3,2,0.6,-3,3,0.5,34,37,Partly Cloudy,91.8,4.9,Calm,89,0.12,-0.0677,0.03,0.085,-0.86,0.63,-0.01,0.016,-0.071,14,3,0.5882,6,4,10,2,Wisconsin Cheese Kings,Waukesha Foxes
31,1,2022-06-19,6,Northshore Bobbers,NSB,Maunesha River Rats,MRR,Bobbers Ballpark,Sheboygan,1.0,1035,Cameron Novak,43,4.23,1.414,7.51,3.14,31.9,0,2,5,Derek Vandenberg,11,3.05,1.308,8.77,3.16,18.4,2,1,4,0.742,0.281,10,0.175,0.051,0.469,0.723,0.27,7,0.199,0.057,0.442,0,5,0.167,-15,1,0.5,23,38,13,5,0.722,32,8,0.667,157,125,Light Rain,72.3,13.8,R-L,76,0.65,-0.0232,-1.18,-0.106,-1.26,0.02,0.019,0.027,-0.555,-47,-7,0.3341,4,5,9,-1,Maunesha River Rats,Northshore Bobbers
32,1,2022-06-20,6,Northshore Bobbers,NSB,Maunesha River Rats,MRR,Bobbers Ballpark,Sheboygan,1.0,996,Sawyer Hagen,44,2.76,1.348,8.86,2.7,68.9,0,0,5,Luke Ehrhardt,12,3.76,1.392,7.01,3.63,29.6,0,3,5,0.742,0.281,10,0.175,0.051,0.469,0.723,0.27,7,0.199,0.057,0.442,0,6,0.143,-16,1,0.0,27,43,14,5,0.737,33,8,0.667,162,129,Windy,67.3,8.1,L-R,52,0.08,0.0186,1.0,0.044,1.85,0.93,0.019,0.027,-0.594,-49,-7,0.3271,6,8,14,-2,Maunesha River Rats,Northshore Bobbers
33,1,2022-06-22,6,Northshore Bobbers,NSB,Maunesha River Rats,MRR,Bobbers Ballpark,Sheboygan,1.0,1181,Liam Bauer,45,3.8,1.318,7.72,3.93,33.8,1,2,5,Hunter Werner,13,4.09,1.363,6.8,3.87,55.2,0,2,4,0.742,0.281,10,0.175,0.051,0.469,0.723,0.27,7,0.199,0.057,0.442,1,7,0.125,-18,1,0.0,33,51,15,5,0.75,35,9,0.667,170,135,Partly Cloudy,70.9,9.6,In,49,0.12,-0.0064,0.29,0.045,0.92,-0.06,0.019,0.027,-0.625,-53,-8,0.431,7,5,12,2,Northshore Bobbers,Maunesha River Rats
34,1,2022-06-23,6,Northshore Bobbers,NSB,Wisconsin Cheese Kings,WCK,Bobbers Ballpark,Sheboygan,1.0,1330,Ethan O'Brien,46,4.26,1.267,6.83,4.55,15.7,1,2,4,Brady Graham,27,4.35,1.119,9.07,3.75,52.4,3,1,5,0.742,0.281,10,0.175,0.051,0.469,0.749,0.273,10,0.19,0.055,0.487,0,7,0.222,-16,2,0.333,40,56,10,8,0.556,13,7,0.533,139,126,Clear,75.2,7.9,L-R,82,0.02,-0.0286,0.09,-0.148,-2.24,-0.8,-0.007,-0.018,-0.334,-29,-5,0.2518,5,7,12,-2,Wisconsin Cheese Kings,Northshore Bobbers
35,1,2022-06-24,6,Northshore Bobbers,NSB,Wisconsin Cheese Kings,WCK,Bobbers Ballpark,Sheboygan,1.0,1138,Cameron Novak,43,4.23,1.414,7.51,3.14,31.9,0,2,5,Parker Yates,28,3.91,1.244,8.46,3.65,20.9,1,0,5,0.742,0.281,10,0.175,0.051,0.469,0.749,0.273,10,0.19,0.055,0.487,1,8,0.2,-18,2,0.25,45,63,11,8,0.579,15,7,0.533,146,131,Partly Cloudy,67.4,12.1,In,59,0.12,0.0375,-0.32,-0.17,-0.95,0.51,-0.007,-0.018,-0.379,-33,-5,0.2807,6,3,9,3,Northshore Bobbers,Wisconsin Cheese Kings
36,1,2022-06-25,6,Northshore Bobbers,NSB,Wisconsin Cheese Kings,WCK,Bobbers Ballpark,Sheboygan,1.0,691,Cameron Novak,43,4.23,1.414,7.51,3.14,31.9,0,2,5,Garrett Bauer,29,2.85,1.232,9.98,2.11,65.7,4,1,7,0.742,0.281,10,0.175,0.051,0.469,0.749,0.273,10,0.19,0.055,0.487,0,8,0.273,-15,3,0.4,51,66,11,9,0.55,12,6,0.533,149,137,Light Rain,78.4,12.2,Calm,68,0.65,-0.0043,-1.38,-0.182,-2.47,-1.03,-0.007,-0.018,-0.277,-27,-3,0.2808,4,8,12,-4,Wisconsin Cheese Kings,Northshore Bobbers
37,1,2022-06-27,6,Northshore Bobbers,NSB,Lakeside Beach Bums,LBB,Bobbers Ballpark,Sheboygan,1.0,1267,Cameron Novak,43,4.23,1.414,7.51,3.14,31.9,0,2,5,Owen Mueller,59,3.91,1.199,8.6,3.82,14.7,1,2,4,0.742,0.281,10,0.175,0.051,0.469,0.735,0.271,3,0.204,0.045,0.466,1,9,0.25,-19,3,0.333,55,74,1,5,0.167,-24,1,0.5,29,53,Clear,75.0,16.0,Out,79,0.02,-0.0031,-0.32,-0.215,-1.09,0.68,0.007,0.003,0.083,5,2,0.545,8,3,11,5,Northshore Bobbers,Lakeside Beach Bums
38,1,2022-06-28,6,Northshore Bobbers,NSB,Lakeside Beach Bums,LBB,Bobbers Ballpark,Sheboygan,1.0,1139,Sawyer Hagen,44,2.76,1.348,8.86,2.7,68.9,0,0,5,Nolan Xavier,60,3.4,1.389,8.66,4.4,35.8,0,3,4,0.742,0.281,10,0.175,0.051,0.469,0.735,0.271,3,0.204,0.045,0.466,0,9,0.308,-14,4,0.429,63,77,1,6,0.143,-29,1,0.5,32,61,Overcast,70.1,9.8,In,46,0.28,-0.0439,0.64,0.041,0.2,1.7,0.007,0.003,0.165,15,3,0.4725,9,12,21,-3,Lakeside Beach Bums,Northshore Bobbers
